dataset,seq,subject_id,path,T,C,t_start,t_end,roi_names,passed,fps_est,duration_ratio
UBFC,UBFC_s10_T1,s10_T1,C:\Users\user\Documents\GitHub\Project_rPPG\Data_DL\UBFCPhys_DL_SEQ_NPZ\s10_T1.npz,6325,9,0.0,179.97609425692983,"forehead_strip,left_cheek_big,right_cheek_big",,35.13799999999772,1.000046010238773
UBFC,UBFC_s10_T2,s10_T2,C:\Users\user\Documents\GitHub\Project_rPPG\Data_DL\UBFCPhys_DL_SEQ_NPZ\s10_T2.npz,6325,9,0.0,179.97609425692983,"forehead_strip,left_cheek_big,right_cheek_big",,35.13799999999772,1.000046010238773
UBFC,UBFC_s10_T3,s10_T3,C:\Users\user\Documents\GitHub\Project_rPPG\Data_DL\UBFCPhys_DL_SEQ_NPZ\s10_T3.npz,6325,9,0.0,179.97609425692983,"forehead_strip,left_cheek_big,right_cheek_big",,35.13799999999772,1.000046010238773
UBFC,UBFC_s11_T1,s11_T1,C:\Users\user\Documents\GitHub\Project_rPPG\Data_DL\UBFCPhys_DL_SEQ_NPZ\s11_T1.npz,6325,9,0.0,179.97609425692983,"forehead_strip,left_cheek_big,right_cheek_big",,35.13799999999772,1.000046010238773
UBFC,UBFC_s11_T2,s11_T2,C:\Users\user\Documents\GitHub\Project_rPPG\Data_DL\UBFCPhys_DL_SEQ_NPZ\s11_T2.npz,6325,9,0.0,179.97609425692983,"forehead_strip,left_cheek_big,right_cheek_big",,35.13799999999772,1.000046010238773
UBFC,UBFC_s11_T3,s11_T3,C:\Users\user\Documents\GitHub\Project_rPPG\Data_DL\UBFCPhys_DL_SEQ_NPZ\s11_T3.npz,6325,9,0.0,179.97609425692983,"forehead_strip,left_cheek_big,right_cheek_big",,35.13799999999772,1.000046010238773
UBFC,UBFC_s12_T1,s12_T1,C:\Users\user\Documents\GitHub\Project_rPPG\Data_DL\UBFCPhys_DL_SEQ_NPZ\s12_T1.npz,6325,9,0.0,179.97609425692983,"forehead_strip,left_cheek_big,right_cheek_big",,35.13799999999772,1.000046010238773
UBFC,UBFC_s12_T2,s12_T2,C:\Users\user\Documents\GitHub\Project_rPPG\Data_DL\UBFCPhys_DL_SEQ_NPZ\s12_T2.npz,6325,9,0.0,179.97609425692983,"forehead_strip,left_cheek_big,right_cheek_big",,35.13799999999772,1.000046010238773
UBFC,UBFC_s12_T3,s12_T3,C:\Users\user\Documents\GitHub\Project_rPPG\Data_DL\UBFCPhys_DL_SEQ_NPZ\s12_T3.npz,6325,9,0.0,179.97609425692983,"forehead_strip,left_cheek_big,right_cheek_big",,35.13799999999772,1.000046010238773
UBFC,UBFC_s13_T1,s13_T1,C:\Users\user\Documents\GitHub\Project_rPPG\Data_DL\UBFCPhys_DL_SEQ_NPZ\s13_T1.npz,6325,9,0.0,179.97609425692983,"forehead_strip,left_cheek_big,right_cheek_big",,35.13799999999772,1.000046010238773
UBFC,UBFC_s13_T2,s13_T2,C:\Users\user\Documents\GitHub\Project_rPPG\Data_DL\UBFCPhys_DL_SEQ_NPZ\s13_T2.npz,6325,9,0.0,179.97609425692983,"forehead_strip,left_cheek_big,right_cheek_big",,35.13799999999772,1.000046010238773
UBFC,UBFC_s13_T3,s13_T3,C:\Users\user\Documents\GitHub\Project_rPPG\Data_DL\UBFCPhys_DL_SEQ_NPZ\s13_T3.npz,6325,9,0.0,179.97609425692983,"forehead_strip,left_cheek_big,right_cheek_big",,35.13799999999772,1.000046010238773
UBFC,UBFC_s14_T1,s14_T1,C:\Users\user\Documents\GitHub\Project_rPPG\Data_DL\UBFCPhys_DL_SEQ_NPZ\s14_T1.npz,6325,9,0.0,179.97609425692983,"forehead_strip,left_cheek_big,right_cheek_big",,35.13799999999772,1.000046010238773
UBFC,UBFC_s14_T2,s14_T2,C:\Users\user\Documents\GitHub\Project_rPPG\Data_DL\UBFCPhys_DL_SEQ_NPZ\s14_T2.npz,6325,9,0.0,179.97609425692983,"forehead_strip,left_cheek_big,right_cheek_big",,35.13799999999772,1.000046010238773
UBFC,UBFC_s14_T3,s14_T3,C:\Users\user\Documents\GitHub\Project_rPPG\Data_DL\UBFCPhys_DL_SEQ_NPZ\s14_T3.npz,6325,9,0.0,179.97609425692983,"forehead_strip,left_cheek_big,right_cheek_big",,35.13799999999772,1.000046010238773
UBFC,UBFC_s15_T1,s15_T1,C:\Users\user\Documents\GitHub\Project_rPPG\Data_DL\UBFCPhys_DL_SEQ_NPZ\s15_T1.npz,6325,9,0.0,179.97609425692983,"forehead_strip,left_cheek_big,right_cheek_big",,35.13799999999772,1.000046010238773
UBFC,UBFC_s15_T2,s15_T2,C:\Users\user\Documents\GitHub\Project_rPPG\Data_DL\UBFCPhys_DL_SEQ_NPZ\s15_T2.npz,6325,9,0.0,179.97609425692983,"forehead_strip,left_cheek_big,right_cheek_big",,35.13799999999772,1.000046010238773
