seq,status,n_frames,video_duration_s,gt_duration_s,duration_ratio_gt_over_video,t_frame_monotonic,t_frame_dt_median,t_frame_dt_std,fps_est_median,gt_nan_frac,y_nan_frac,gt_std,y_std,y_jump_frac,forehead_strip_zero_rgb_frac_est,left_cheek_big_zero_rgb_frac_est,right_cheek_big_zero_rgb_frac_est
s1_T1,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9976562666831577,0.001265022137887413,0.0,0.0,0.0
s1_T2,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9989353263530016,0.016603415559772294,0.0,0.0,0.0
s1_T3,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9985942341012352,0.01312460468058191,0.0,0.0,0.0
s10_T1,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9971802655622726,0.0,0.0,0.0,0.0
s10_T2,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9983850651400472,0.0056925996204933585,0.0,0.0,0.0
s10_T3,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9988114804616818,0.009962049335863378,0.0,0.0,0.0
s11_T1,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,0.9999999999999998,0.9983018116318082,0.005850727387729285,0.0,0.0,0.0
s11_T2,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,0.9999999999999999,0.998142342778795,0.01122707147375079,0.26814229249011856,0.0,0.0
s11_T3,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9977621758553713,0.0558191018342821,0.0,0.0,0.0
s12_T1,OK,6325,179.97609425692983,179.984375,1.000046010238773,True,0.028459217940692838,8.212623244063066e-15,35.13799999999772,0.0,0.0,1.0,0.9976024077910934,0.0,0.0,0.0,0.0
