seq,status,n_frames_rgb,n_valid_png,n_gt_samples,t_frame_monotonic,t_gt_monotonic,t_frame_dt_median,t_frame_dt_std,fps_est_median,video_duration_s,gt_duration_s,duration_ratio_gt_over_video,X_rows,X_cols,Y_len,len_match,gt_std_raw,y_std_resampled,ts_unit,fs_gt_effective_hz
0_0,OK,901,901,3582,True,True,0.06286144256591797,0.01293062007386733,15.908002730789653,60.66293215751648,60.66293215751648,1.0,901,9,901,True,13.848446662135952,13.698363304138184,ms_to_s,59.03110635505762
0_1,OK,901,901,3641,True,True,0.06284892559051158,0.015017633317600528,15.911170964408209,60.74157094955444,60.74157094955444,1.0,901,9,901,True,15.325124144929214,15.353109359741211,ms_to_s,59.926010195274685
0_2,OK,901,901,3532,True,True,0.06285297870635986,0.012613472754657259,15.910144922038732,60.12894701957703,60.12894701957703,1.0,901,9,901,True,14.330536386571485,14.298404693603516,ms_to_s,58.72379569278608
10_0,OK,901,901,3492,True,True,0.06287908554077326,0.01010184215350309,15.90353917204411,60.28232002258301,60.28232002258301,1.0,901,9,901,True,23.20775416580596,23.078283309936523,ms_to_s,57.91084348930497
10_1,OK,901,901,3568,True,True,0.0628730058670044,0.008025959898282548,15.905077007377464,59.80095100402832,59.80095100402832,1.0,901,9,901,True,18.939915577406083,18.878173828125,ms_to_s,59.64788084657248
10_2,OK,901,901,3523,True,True,0.06285548210143954,0.009525220634910259,15.909511256092928,59.964107990264885,59.964107990264885,1.0,901,9,901,True,23.480733106457624,23.391775131225586,ms_to_s,58.73513536750673
11_0,OK,901,901,3630,True,True,0.06283450126647949,0.012481679977597892,15.91482354191093,60.67473101615906,60.67473101615906,1.0,901,9,901,True,15.64401756383473,15.472816467285156,ms_to_s,59.81073074775585
11_1,OK,901,901,3552,True,True,0.06283450126647594,0.01213669037008728,15.914823541911831,60.421756029129035,60.421756029129035,1.0,901,9,901,True,16.049070252837577,15.970030784606934,ms_to_s,58.770221744102905
11_2,OK,901,901,3667,True,True,0.06285452842712091,0.055518113311638556,15.909752646692564,62.13324403762817,62.13324403762817,1.0,901,9,901,True,13.304192976938369,13.137680053710938,ms_to_s,59.002230718548255
12_0,OK,901,901,3542,True,True,0.0628654956817627,0.009497359932159062,15.9069770969785,60.1294949054718,60.1294949054718,1.0,901,9,901,True,20.421989518039695,20.349634170532227,ms_to_s,58.88956834855714
12_1,OK,901,901,3590,True,True,0.06285154819488525,0.009784081272373393,15.910507039528714,60.08653497695922,60.08653497695922,1.0,901,9,901,True,19.534142239816095,19.49223518371582,ms_to_s,59.73052034663403
12_2,OK,901,901,3576,True,True,0.06284344196319491,0.010104116802779116,15.91255935003788,60.14328098297119,60.14328098297119,1.0,901,9,901,True,17.576523676999887,17.55194854736328,ms_to_s,59.44138632896027
13_0,OK,901,901,3535,True,True,0.06286096572875599,0.01153325936218749,15.90812340228725,60.28337001800537,60.28337001800537,1.0,901,9,901,True,20.074976157636012,19.97589874267578,ms_to_s,58.62313269720105
13_1,OK,901,901,3520,True,True,0.06284463405608776,0.010620734186271767,15.912257506464549,60.07300806045532,60.07300806045532,1.0,901,9,901,True,17.396659345285347,17.372390747070312,ms_to_s,58.57872135283461
13_2,OK,901,901,3502,True,True,0.06284391880035223,0.007744054955987078,15.912438611234332,59.82107186317444,59.82107186317444,1.0,901,9,901,True,20.593512220275084,20.5435791015625,ms_to_s,58.52452807946423
14_0,OK,901,901,3513,True,True,0.06285250186919811,0.011811915414168879,15.91026562603813,60.281785011291504,60.281785011291504,1.0,901,9,901,True,14.200406742343125,14.118672370910645,ms_to_s,58.25972139581069
14_1,OK,901,901,3547,True,True,0.06286334991455078,0.010362321015855025,15.907520063109668,60.14885902404785,60.14885902404785,1.0,901,9,901,True,23.37123721853422,23.31818389892578,ms_to_s,58.953736738086576
14_2,OK,901,901,3534,True,True,0.06286311149597879,0.01088981074627112,15.907580394966097,60.079752922058105,60.079752922058105,1.0,901,9,901,True,21.45033596343697,21.344369888305664,ms_to_s,58.80516859953446
15_0,OK,901,901,3619,True,True,0.06284284591675515,0.010800270106902805,15.912710276117208,60.2127799987793,60.2127799987793,1.0,901,9,901,True,14.794437863517599,14.716960906982422,ms_to_s,60.08691178306911
15_1,OK,901,901,3537,True,True,0.0628519058227539,0.010496628333306958,15.91041650861088,60.14214086532593,60.14214086532593,1.0,901,9,901,True,13.403400253208803,13.398215293884277,ms_to_s,58.79404938241281
15_2,OK,901,901,3548,True,True,0.06285440921783425,0.0102413065313358,15.909782821031765,60.13126707077026,60.13126707077026,1.0,901,9,901,True,15.391611791072963,15.336910247802734,ms_to_s,58.987614477264074
